iter	Passed	Remaining
890	1343	164
891	1345	162
892	1346	161
893	1348	159
894	1349	158
895	1350	156
896	1351	155
897	1352	153
898	1354	152
899	1355	150
900	1356	149
901	1357	147
902	1358	145
903	1360	144
904	1361	142
905	1363	141
906	1364	139
907	1365	138
908	1366	136
909	1367	135
910	1369	133
911	1370	132
912	1371	130
913	1372	129
914	1373	127
915	1375	126
916	1376	124
917	1378	123
918	1379	121
919	1380	120
920	1382	118
921	1383	117
922	1385	115
923	1386	114
924	1387	112
925	1388	110
926	1390	109
927	1391	107
928	1393	106
929	1394	104
930	1396	103
931	1397	101
932	1398	100
933	1399	98
934	1400	97
935	1401	95
936	1403	94
937	1404	92
938	1405	91
939	1407	89
940	1408	88
941	1409	86
942	1410	85
943	1412	83
944	1413	82
945	1414	80
946	1415	79
947	1416	77
948	1418	76
949	1419	74
950	1420	73
951	1422	71
952	1423	70
953	1424	68
954	1425	67
955	1426	65
956	1428	64
957	1429	62
958	1430	61
959	1431	59
960	1432	58
961	1434	56
962	1435	55
963	1436	53
964	1438	52
965	1439	50
966	1440	49
967	1441	47
968	1443	46
969	1444	44
970	1445	43
971	1446	41
972	1447	40
973	1449	38
974	1451	37
975	1452	35
976	1453	34
977	1455	32
978	1456	31
979	1457	29
980	1458	28
981	1459	26
982	1460	25
983	1462	23
984	1463	22
985	1465	20
986	1466	19
987	1467	17
988	1469	16
989	1470	14
990	1471	13
991	1473	11
992	1474	10
993	1475	8
994	1477	7
995	1478	5
996	1479	4
997	1481	2
998	1482	1
999	1483	0
